Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
223,Ips amitinus,1696,Microsporidia,Chytridiopsis cf. typographi,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
224,Ips amitinus,1696,Microsporidia,unidentified microsporidia,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
229,Ips amitinus,1696,Microsporidia,Chytridiopsis typographi,Austria,pathogen,,,,evaluation of pathogen infections of all emerged beetles,,"Händel and Wegensteiner, 2005",2005,only English abstract,"Handel, U., Wegensteiner, R., 2005. Occurrence of pathogens in bark beetles (Coleoptera, Scolytidae) from Alpine pine (Pinus cembra L.). IOBC/wprs Bull 28, 155–158."
231,Ips typographus,1733,Microsporidia,Chytridiopsis typographi,,,,,,,,"Händel et al., 2001",2001,non full-text ,"Händel U., M. Kenis & R. Wegensteiner 2001. Untersuchungen zum Vorkommen von Pathogenen und Parasiten in Populationen überwinternder Fichtenborkenkäfer (Col., Scolytidae). Mitteilungen der Deutschen Gesellschaft für allgemeine und angewandte Entomologie 13, 423-28."
232,Ips typographus,1733,Microsporidia,Unikaryon montanum,,,,,,,,"Händel et al., 2001",2001,non full-text ,"Händel U., M. Kenis & R. Wegensteiner 2001. Untersuchungen zum Vorkommen von Pathogenen und Parasiten in Populationen überwinternder Fichtenborkenkäfer (Col., Scolytidae). Mitteilungen der Deutschen Gesellschaft für allgemeine und angewandte Entomologie 13, 423-28."
239,Ips typographus,1733,Microsporidia,Chytridiopsis typographi,Austria,pathogen,,,midgut epithelium,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
240,Ips typographus,1733,Microsporidia,Nosema typographi,Austria,pathogen,,,midgut epithelium; fat body; gonads,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
241,Ips typographus,1733,Microsporidia,Unikaryon montanum,Austria,pathogen,,,midgut epithelium; fat body; gonads,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
246,Pityogenes chalcographus,1739,Microsporidia,Chytridiopsis cf. typographi,Austria,pathogen,,,midgut epithelium,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
247,Pityogenes chalcographus,1739,Microsporidia,Unikaryon-type microsporidium,Austria,pathogen,,,midgut epithelium; malpighian tubules; gonads,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
