Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
333,Dendroctonus ponderosae,484,Fungi,Beauveria bassiana,Canada,,,,,,,"Hunt et al., 1984",1984,full text,"Hunt, D. W. A., Borden, J. H., Rahe, J. E., & Whitney, H. S. (1984). Nutrient-mediated germination of Beauveria bassiana conidia on the integument of the bark beetle Dendroctonus ponderosae (Coleoptera: Scolytidae). Journal of Invertebrate Pathology, 44(3), 304-314."
334,Ips typographus,1733,Fungi,Beauveria caledonica,Slovakia,,,morphological and molecular,,isolated from infected beetle,,"Hyblerová et al., 2021",2021,full text,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
335,Ips typographus,1733,Fungi,Beauveria bassiana,Slovakia,,,morphological and molecular,,isolated from infected beetle,,"Hyblerová et al., 2021",2021,full text,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
336,Ips typographus,1733,Fungi,Beauveria pseudobassiana,Slovakia,,,morphological and molecular,,isolated from infected beetle,,"Hyblerová et al., 2021",2021,full text,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
337,Ips typographus,1733,Fungi,Metapochonia bulbillosa,Slovakia,,,morphological and molecular,,isolated from infected beetle,,"Hyblerová et al., 2021",2021,full text,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
338,Ips amitinus,1696,Fungi,Beauveria bassiana,Slovakia,,,morphological and molecular,,isolated from infected beetle,,"Hyblerová et al., 2021",2021,full text,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
339,Ips amitinus,1696,Fungi,Beauveria pseudobassiana,Slovakia,,,morphological and molecular,,isolated from infected beetle,,"Hyblerová et al., 2021",2021,full text,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
340,Pityogenes chalcographus,1739,Fungi,Beauveria bassiana,Slovakia,,,morphological and molecular,,isolated from infected beetle,,"Hyblerová et al., 2021",2021,full text,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
341,Pityogenes chalcographus,1739,Fungi,Beauveria caledonica,Slovakia,,,morphological and molecular,,isolated from infected beetle,,"Hyblerová et al., 2021",2021,full text,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
342,Pityogenes chalcographus,1739,Fungi,Metapochonia bulbillosa,Slovakia,,,morphological and molecular,,isolated from infected beetle,,"Hyblerová et al., 2021",2021,full text,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
345,Ips typographus,1733,Fungi,Beauveria bassiana,Slovakia,,field,,cuticular contact,,pathogenicity test,"Jakus and Blazenec, 2011",2011,full text,"Jakus, R., & Blazenec, M. (2011). Treatment of bark beetle attacked trees with entomopathogenic fungus Beauveria bassiana (Balsamo) Vuillemin. Folia Forestalia Polonica. Series A. Forestry, 53(2)."
346,Ips sexdentatus,1728,Fungi,Beauveria bassiana,Latvia,,,,,isolated from infected beetle,,"Jankevica, 2004",2004,full text,"Jankevica, LĪGA. (2004). Ecological associations between entomopathogenic fungi and pest insects recorded in Latvia. Latvijas entomologs, 41, 60-65."
347,Tomicus minor,520,Fungi,Beauveria bassiana,Latvia,,,,,isolated from infected beetle,,"Jankevica, 2004",2004,full text,"Jankevica, LĪGA. (2004). Ecological associations between entomopathogenic fungi and pest insects recorded in Latvia. Latvijas entomologs, 41, 60-65."
