Beetle Host ID,Beetle Species,No. records,No. pathogen taxa,No. countries,Associated Pathogens,Associated Countries,Pathogen Record IDs
1708,Orthotomicus erosus,8,6,3,Chytridiopsis sp.; Gregarina sp.; Mattesia sp.; Nematodan; gut nematodes; hemolymph nematodes,Austria; Bulgaria; Hungary,"308, 309, 310, 311, 312, 313, 780, 790"
445,Hylesinus varius,7,3,3,Beauveria bassiana; Ophryocystis hylesini; Paecilomyces variotii,Europe; Germany; Poland,"26, 39, 53, 63, 131, 399, 682"
5192,Hylurgops glabratus,7,7,2,Chytridiopsis cf. typographi; Gregarina cf. typographi; Gregarina sp.; Malamoeba scolyti; Mattesia schwenkei; Menzbieria cf. chalcographi; unidentified microsporidia,Austria; Germany,"210, 211, 212, 213, 257, 697, 698"
1747,Pityokteines curvidens,7,6,3,Beauveria bassiana; Chytridiopsis cf. typographi; Gregarina sp.; Nosema curvidentis; Serratia marcescens; Tylenchus dispar curvidentis,Croatia; Germany; Slovakia,"181, 503, 504, 656, 657, 664, 960"
2182,Xylosandrus crassiusculus,7,3,1,Beauveria bassiana; Isaria fumosorosea; Metarhizium brunneum,United States,"9, 10, 11, 121, 122, 125, 126"
5178,Hylastes cunicularius,6,6,1,Chytridiopsis cf. typographi; Chytridiopsis typographi; Gregarina hylastidis; Gregarina sp.; Malamoeba cf. scolyti; unidentified microsporidia,Austria,"207, 208, 209, 253, 254, 685"
1704,Ips calligraphus,6,6,1,Bacillus thuringiensis; Contortylenchus elongatus; Contortylenchus grandicolli; Ektaphelenchus riograndensis; Parasitaphelenchus sp.; Serratia marcescens,United States,"112, 266, 267, 350, 540, 564"
1754,Pityokteines spinidens,6,5,2,Beauveria bassiana; Canningia spinidentis; Chytridiopsis cf. typographi; Gregarina sp.; Menzbieria sp.,Austria; Croatia,"658, 659, 660, 661, 665, 939"
478,Dendroctonus brevicomis,5,2,2,Alphelenchulus brevicomi; Contortylenchus brevicomi,British Columbia; United States,"518, 554, 638, 826, 837"
1718,Ips paraconfusus,5,5,1,Contortylenchus brevicomi; Contortylenchus elongatus; Contortylenchus reversus; Parasitaphelenchus sp.; Parasitorhabditis sp.,United States,"133, 134, 135, 136, 137"
10456,Ips subelongatus,5,2,0,Bacillus thuringiensis var. insectus; Beauveria bassiana,,"197, 198, 199, 200, 201"
8944,Polygraphus proximus,5,4,1,Beauveria bassiana; Beauveria pseudobassiana; Isaria farinosa; Lecanicillium attenuatum,Russia,"361, 362, 363, 364, 654"
1167,Scolytus ratzeburgi,5,2,1,Beauveria bassiana; Lecanicillium lecanii,Poland,"19, 32, 44, 46, 56"
2037,Xyleborinus saxesenii,5,5,2,Akanthomyces lecanii; Beauveria bassiana; Beauveria pseudobassiana; Cordyceps fumosorosea; Nematodan,Bulgaria; Turkey,"428, 431, 434, 438, 802"
2093,Xyleborus glabratus,5,3,1,Beauveria bassiana; Isaria fumosorosea; Metarhizium brunneum,United States,"6, 7, 8, 116, 117"
476,Dendroctonus adjunctus,4,2,1,Parasitaphelenchus dendroctoni; Parasitylenchus stipatus,United States,"544, 545, 552, 553"
399,Hylastes opacus,4,1,1,Beauveria bassiana,Poland,"24, 37, 51, 61"
5940,Orthotomicus longicollis,4,4,1,Beauveria bassiana; Chytridiopsis sp.; Gregarina spp.; Nematodan,Bulgaria,"792, 804, 812, 818"
5944,Orthotomicus proximus,4,4,1,Chytridiopsis cf. typographi; Gregarina cf. typographi; Gregarina sp.; Nematodan,Bulgaria,"766, 767, 779, 793"
1142,Scolytus laevis,4,1,1,Beauveria bassiana,Poland,"21, 34, 48, 58"
520,Tomicus minor,4,3,4,Beauveria bassiana; Metarhizium anisopliae; Nematodan,Bulgaria; China; Italy; Latvia,"347, 719, 800, 973"
2046,Xyleborus affinis,4,2,2,Beauveria bassiana; Metarhizium robertsii,Mexico; México,"118, 119, 120, 717"
1868,Crypturgus pusillus,3,3,2,Beauveria bassiana; Beauveria caledonica; Lecanicillium lecanii,Europe; Poland,"41, 385, 394"
489,Dendroctonus simplex,3,3,1,Beauveria bassiana; Lecanicillium attenuatum; Metarhizium anisopliae,Canada,"740, 741, 742"
1698,Ips avulsus,3,2,1,Beauveria bassiana; Parasitylenchus avulsi,United States,"265, 563, 650"
1709,Ips grandicollis,3,2,1,Alphelenchulus grandicolli; Contortylenchus grandicolli,United States,"268, 520, 567"
5932,Ips stebbingi,3,3,1,Beauveria bassiana; Lecanicillium lecanii; Metarhizium anisopliae,India,"372, 373, 374"
5951,Pityogenes conjunctus,3,2,2,Gregarina sp.; Nematodan,Austria; Bulgaria,"230, 776, 797"
5959,Pityogenes scitus,3,3,1,Beauveria bassiana; Lecanicillium lecanii; Metarhizium anisopliae,India,"378, 379, 380"
2686,Pityophthorus juglandis,3,3,1,Bursaphlenhus juglandis; Panagrolaimus multidentatus; Panagrolaimus sp.,Russia,"967, 968, 969"
2799,Pityophthorus sp. undetermined,3,3,1,Contortylenchus pityophthori; Parasitaphelenchus sp.; Parasitylenchus sp.,United States,"576, 577, 578"
1036,Polygraphus major,3,3,1,Beauveria bassiana; Lecanicillium lecanii; Metarhizium anisopliae,India,"375, 376, 377"
199184,Scolytinae sp. undetermined,3,3,1,Beauveria bassiana; Beauveria caledonica; Metarhizium anisopliae,China,"332, 976, 999"
1171,Scolytus schevyrewi,3,3,1,Beauveria bassiana; Metarhizium anisopliae; Paecilomyces cateni,China,"177, 178, 179"
6268,Taphrorychus villifrons,3,3,1,Gregarina sp.; Nematodan; Nosema sp.,Bulgaria,"775, 782, 799"
3350,Xyleborus bispinatus,3,3,0,Beauveria bassiana; Isaria fumosorosea; Metarhizium brunneum,,"15, 16, 17"
2179,Xyleborus volvulus,3,3,0,Beauveria bassiana; Isaria fumosorosea; Metarhizium brunneum,,"12, 13, 14"
2218,Cryphalus piceae,2,2,2,Beauveria bassiana; Tylenchus dispar cryphali,Europe; Germany,"182, 392"
8867,Dendroctonus armandi,2,1,1,Entomopoxvirus,China,"176, 819"
9676,Dendroctonus barberi,2,2,1,Alphelenchulus barberus; Ektaphelenchus riograndensis,United States,"516, 538"
1840,Dryocoetes confusus,2,2,2,Beauveria bassiana; Ektaphelenchus prolobos,Canada; United States,"543, 966"
1964,Euwallacea fornicatus,2,2,1,Beauveria bassiana; Metarhizium anisopliae,South Africa,"635, 636"
1966,Euwallacea interjectus,2,2,1,Beauveria bassiana; Serratia marcescens,China,"484, 485"
426,Hylastinus obscurus,2,2,1,Beauveria bassiana; Beauveria pseudobassiana,United States,"457, 458"
501,Hylurgopinus rufipes,2,2,1,Parasitaphelenchus oldhami; Rod-like bacteria,Canada,"851, 852"
413,Hylurgops pinifex,2,2,1,Contortylenchus sp.; Parasitylenchus coronatus,United States,"572, 573"
5927,Orthotomicus nobilis,2,2,1,gut nematodes; hemolymph nematodes,Spain,"321, 322"
5592,Phloeosinus sinensis,2,2,1,Beauveria bassiana; Beauveria brongniartii,China,"474, 483"
5949,Pityogenes bistridentatus,2,2,1,Gregarina sp.; Nematodan,Bulgaria,"778, 795"
1755,Pityokteines vorontzowi,2,2,1,Chytridiopsis cf. typographi; Gregarina sp.,Croatia,"662, 663"
