Record Block ID,Records ID,Beetle Host,Beetle Host IDs,pathogens,categories,organism source,infection site,ecological relationship,identification method,validation type,experimental conditions,country or region,year,source,title,doi or full text,full text
3cd970ea-0cac-81e9-9db4-dfb021e9522c,11,Xylosandrus crassiusculus,3cd970ea-0cac-815f-84ee-ec79540cabee,Isaria fumosorosea,Fungi,commercial strain,undetermined,pathogen,,virulence test,laboratory,,2018,"Avery et al., 2018","Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49.",https://doi.org/10.3390/insects9020049,full text
3cd970ea-0cac-8174-b8d0-d069b5660a09,12,Xyleborus volvulus,3cd970ea-0cac-8173-91cf-d920cf5f5be9,Beauveria bassiana,Fungi,commercial strain,undetermined,pathogen,,virulence test,laboratory,,2018,"Avery et al., 2018","Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49.",https://doi.org/10.3390/insects9020049,full text
3cd970ea-0cac-81b4-93e2-cbe3142bdafc,13,Xyleborus volvulus,3cd970ea-0cac-8173-91cf-d920cf5f5be9,Metarhizium brunneum,Fungi,commercial strain,undetermined,pathogen,,virulence test,laboratory,,2018,"Avery et al., 2018","Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49.",https://doi.org/10.3390/insects9020049,full text
3cd970ea-0cac-811a-a748-d143e4192112,14,Xyleborus volvulus,3cd970ea-0cac-8173-91cf-d920cf5f5be9,Isaria fumosorosea,Fungi,commercial strain,undetermined,pathogen,,virulence test,laboratory,,2018,"Avery et al., 2018","Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49.",https://doi.org/10.3390/insects9020049,full text
3cd970ea-0cac-812e-b1ed-db2ef234cab9,15,Xyleborus bispinatus,3cd970ea-0cac-81d8-845a-eb65503f6b35,Beauveria bassiana,Fungi,commercial strain,undetermined,pathogen,,virulence test,laboratory,,2018,"Avery et al., 2018","Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49.",https://doi.org/10.3390/insects9020049,full text
3cd970ea-0cac-8165-9840-d346bdfb54fa,16,Xyleborus bispinatus,3cd970ea-0cac-81d8-845a-eb65503f6b35,Metarhizium brunneum,Fungi,commercial strain,undetermined,pathogen,,virulence test,laboratory,,2018,"Avery et al., 2018","Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49.",https://doi.org/10.3390/insects9020049,full text
3cd970ea-0cac-8113-b19f-ff38adeadb27,17,Xyleborus bispinatus,3cd970ea-0cac-81d8-845a-eb65503f6b35,Isaria fumosorosea,Fungi,commercial strain,undetermined,pathogen,,virulence test,laboratory,,2018,"Avery et al., 2018","Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49.",https://doi.org/10.3390/insects9020049,full text
3cd970ea-0cac-8132-a78e-d47c1eebfe16,18,Scolytus multistriatus,3cd970ea-0cac-81d9-bda0-ca455fdf65b6,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-817b-a4d0-d9b09d7a25b3,19,Scolytus ratzeburgi,3cd970ea-0cac-81a2-9878-da1338425f66,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
3cd970ea-0cac-818e-a0fa-d8a5755d0e08,20,Scolytus scolytus,3cd970ea-0cac-818b-a96b-ee29650d93b8,Beauveria bassiana,Fungi,,,,,,,,1967,"Balazy et al., 1967","Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205.",,non full-text
